id,coding,industry,d2018,d2017,d2016
313,船井電機(株)【6839】,-10885,-6775,-10539,電気機器
314,(株)栗本鐵工所【5602】,3409,3421,3330,鉄鋼
315,(株)ヤクルト本社【2267】,43463,37281,40057,食料品
316,レンゴー(株)【3941】,17082,23642,15727,パルプ・紙
317,東京製鐵(株)【5423】,,,,鉄鋼
318,住友重機械工業(株)【6302】,69921,48431,50568,機械
319,日本水産(株)【1332】,23489,22646,19442,水産・農林業
320,(株)キーエンス【6861】,292890,169750,49160,電気機器
321,(株)セブン銀行【8410】,‥,‥,‥,銀行業
322,(株)安川電機【6506】,54126,30409,36730,電気機器
323,スタンレー電気(株)【6923】,53169,42305,36774,電気機器
324,東洋ゴム工業(株)【5105】,45308,49315,63381,ゴム製品
325,五洋建設(株)【1893】,27617,24274,20617,建設業
326,福山通運(株)【9075】,14726,11044,13139,陸運業
327,(株)ニチレイ【2871】,29897,29309,21583,食料品
328,(株)ツムラ【4540】,17050,15983,19826,医薬品
329,三井海洋開発(株)【6269】,11448,18018,5075,機械
330,(株)熊谷組【1861】,23041,25135,24540,建設業
331,(株)オンワードホールディングス【8016】,5167,4203,3778,繊維製品
332,スルガ銀行(株)【8358】,27825,68991,63845,銀行業
333,伊藤ハム米久ホールディングス(株)【2296】,21562,21455,,食料品
334,明治ホールディングス(株)【2269】,94673,88395,77781,食料品
335,大正製薬ホールディングス(株)【4581】,36977,31966,28878,医薬品
336,日新製鋼(株)【5413】,17801,7834,10087,鉄鋼
337,セガサミーホールディングス(株)【6460】,17720,29527,17617,機械
338,(株)関西みらいフィナンシャルグループ【7321】,‥,,,銀行業
339,(株)ＡＣＣＥＳＳ【4813】,413,599,-114,情報・通信
340,日本曹達(株)【4041】,6390,5365,7415,化学
341,トランスコスモス(株)【9715】,6092,8080,9725,サービス業
342,大東建託(株)【1878】,126369,120162,101001,建設業
343,山九(株)【9065】,31581,27086,24317,陸運業
344,ヤマハ(株)【7951】,48833,44302,40663,その他製品
345,前田建設工業(株)【1824】,35386,23103,18703,建設業
346,ＦＤＫ(株)【6955】,666,-330,1580,電気機器
347,古河機械金属(株)【5715】,7820,6545,7988,非鉄金属
348,豊田合成(株)【7282】,41136,40675,42824,輸送用機器
349,兼松(株)【8020】,26160,22633,18772,卸売業
350,ＫＹＢ(株)【7242】,20885,19247,4327,輸送用機器
351,日清紡ホールディングス(株)【3105】,15085,4890,12617,電気機器
352,(株)東京きらぼしフィナンシャルグループ【7173】,‥,‥,‥,銀行業
353,(株)栃木銀行【8550】,‥,‥,‥,銀行業
354,(株)ベルシステム２４ホールディングス【6183】,9319,8172,8884,サービス業
355,日東電工(株)【6988】,125722,92589,102397,化学
356,協和発酵キリン(株)【4151】,55974,31638,43765,医薬品
357,ＣＹＢＥＲＤＹＮＥ(株)【7779】,-659,-1172,-1292,精密機器
358,いちご(株)【2337】,20858,21781,15417,不動産業
359,(株)北國銀行【8363】,17053,15406,21195,銀行業
360,(株)島津製作所【7701】,42822,37089,35701,精密機器
361,センコーグループホールディングス(株)【9069】,17087,17081,17497,陸運業
362,(株)きんでん【1944】,38618,36062,33450,建設業
363,タカラスタンダード(株)【7981】,12341,12285,12973,その他製品
364,日立金属(株)【5486】,46326,68267,99954,鉄鋼
365,富士ソフト(株)【9749】,9707,8798,8418,情報・通信
366,ユニゾホールディングス(株)【3258】,17570,13128,10605,不動産業
367,西日本鉄道(株)【9031】,20430,19354,23342,陸運業
368,ミズノ(株)【8022】,8043,1444,2971,その他製品
369,グンゼ(株)【3002】,6239,4206,3662,繊維製品
370,(株)コジマ【7513】,,,,小売業
371,(株)ビックカメラ【3048】,27055,21854,22006,小売業
372,アルパイン(株)【6816】,13748,5612,5434,電気機器
373,関西ペイント(株)【4613】,35802,35310,34772,化学
374,(株)インターネットイニシアティブ【3774】,6762,5134,6140,情報・通信
375,日清食品ホールディングス(株)【2897】,34112,28618,26399,食料品
376,(株)名古屋銀行【8522】,8832,9325,9204,銀行業
377,(株)日本触媒【4114】,26727,21151,31234,化学
378,(株)ラウンドワン【4680】,10537,6681,6367,サービス業
379,愛知製鋼(株)【5482】,11813,7218,5883,鉄鋼
380,(株)四国銀行【8387】,‥,‥,‥,銀行業
381,トモニホールディングス(株)【8600】,‥,‥,‥,銀行業
382,(株)七十七銀行【8341】,17330,18177,17421,銀行業
383,(株)ＬＩＸＩＬビバ【3564】,10717,10632,10312,小売業
384,日本オラクル(株)【4716】,,,,情報・通信
385,富士石油(株)【5017】,11188,18940,-8799,石油・石炭製品
386,(株)十八銀行【8396】,‥,‥,‥,銀行業
387,キッセイ薬品工業(株)【4547】,9887,8491,10274,医薬品
388,日本冶金工業(株)【5480】,4168,4352,1892,鉄鋼
389,新光電気工業(株)【6967】,4899,3268,9422,電気機器
390,昭和電線ホールディングス(株)【5805】,6276,4234,949,非鉄金属
391,日本ゼオン(株)【4205】,38881,30767,29856,化学
392,日本マクドナルドホールディングス(株)【2702】,18912,6930,-23440,小売業
393,キユーピー(株)【2809】,31261,29818,26441,食料品
394,(株)アシックス【7936】,19571,25472,27448,その他製品
395,(株)スクウェア・エニックス・ホールディングス【9684】,38176,31295,26018,情報・通信
396,科研製薬(株)【4521】,27496,30707,35146,医薬品
397,(株)マキタ【6586】,79762,62564,64676,機械
398,太陽誘電(株)【6976】,20221,12385,23370,電気機器
399,(株)東邦銀行【8346】,10779,9430,13640,銀行業
400,西松建設(株)【1820】,22752,25259,16184,建設業
401,日揮(株)【1963】,21495,-21496,49661,建設業
402,(株)ゼンショーホールディングス【7550】,17611,18775,12113,小売業
403,(株)阿波銀行【8388】,19124,19715,22531,銀行業
404,ＪＳＲ(株)【4185】,43569,32370,34408,化学
405,井関農機(株)【6310】,3953,2469,460,機械
406,ＮＯＫ(株)【7240】,44934,39776,48258,輸送用機器
407,(株)ＡＯＫＩホールディングス【8214】,14864,14447,17789,小売業
408,(株)淀川製鋼所【5451】,10856,13168,7302,鉄鋼
409,リンテック(株)【7966】,20095,16595,17692,その他製品
410,戸田建設(株)【1860】,30463,24998,21629,建設業
411,(株)ＡＤＥＫＡ【4401】,21335,21041,19300,化学
412,(株)東海理化【6995】,30871,30522,34608,輸送用機器
413,(株)沖縄銀行【8397】,8469,9424,11342,銀行業
414,ラオックス(株)【8202】,138,-955,8586,小売業
415,双葉電子工業(株)【6986】,726,-384,1493,電気機器
416,(株)ドンキホーテホールディングス【7532】,51568,46185,43185,小売業
417,大日本住友製薬(株)【4506】,88173,52759,36929,医薬品
418,(株)メディパルホールディングス【7459】,44260,39650,42283,卸売業
419,三菱倉庫(株)【9301】,12421,12748,11309,倉庫・運輸関連業
420,日本ＣＭＫ(株)【6958】,4266,2652,381,電気機器
421,(株)千趣会【8165】,-4287,1194,-3437,小売業
422,すてきナイスグループ(株)【8089】,675,1518,1628,卸売業
423,(株)マツモトキヨシホールディングス【3088】,33565,28431,27418,小売業
424,クラボウ【3106】,6875,6160,4349,繊維製品
425,(株)アインホールディングス【9627】,19622,14563,14619,小売業
426,堺化学工業(株)【4078】,4690,4551,4615,化学
427,伊藤忠テクノソリューションズ(株)【4739】,32622,31129,27942,情報・通信
428,森永乳業(株)【2264】,21684,21099,14317,食料品
429,ダイワボウホールディングス(株)【3107】,14305,12626,9912,卸売業
430,日本ケミコン(株)【6997】,5818,3338,2179,電気機器
431,平和不動産(株)【8803】,9432,9673,8267,不動産業
432,(株)愛媛銀行【8541】,‥,‥,‥,銀行業
433,塩野義製薬(株)【4507】,115219,108178,91406,医薬品
434,(株)キッツ【6498】,10117,8929,7245,機械
435,アスクル(株)【2678】,4192,8865,8517,小売業
436,ＳＣＳＫ(株)【9719】,34602,33714,31785,情報・通信
437,(株)牧野フライス製作所【6135】,15023,9660,14465,機械
438,トピー工業(株)【7231】,7997,7180,10000,輸送用機器
439,(株)伊予銀行【8385】,‥,‥,‥,銀行業
440,サンケン電気(株)【6707】,12026,5930,6803,電気機器
441,東亞合成(株)【4045】,17453,16147,12347,化学
442,(株)アルバック【6728】,35351,29468,17864,電気機器
443,(株)ソディック【6143】,7490,5236,6353,機械
