industry,name,d2018,d2017,d2016
サービス業,日産化学(株)【4021】,38647,37091,34988
パルプ・紙,(株)ユー・エス・エス【4732】,36009,37123,36071
金属製品,中越パルプ工業(株)【3877】,2057,-397,-1242
情報・通信,三益半導体工業(株)【8155】,,,
小売業,トレンドマイクロ(株)【4704】,37686,35836,36441
銀行業,(株)コメリ【8218】,18469,18123,16964
サービス業,(株)福島銀行【8562】,‥,‥,‥
その他製品,ＡＬＳＯＫ【2331】,36795,32280,30111
食料品,(株)オカムラ【7994】,13391,12418,13142
情報・通信,森永製菓(株)【2201】,21230,20217,19751
証券業,日本テレビホールディングス(株)【9404】,43111,49749,50964
機械,(株)岡三証券グループ【8609】,2072,1840,11720
鉄鋼,トーヨーカネツ(株)【6369】,2591,1406,2265
非鉄金属,共英製鋼(株)【5440】,19404,9200,4259
卸売業,リョービ(株)【5851】,8495,13579,13212
情報・通信,アルフレッサ　ホールディングス(株)【2784】,47645,44770,41756
建設業,(株)学研ホールディングス【9470】,4523,3652,3382
食料品,鉄建建設(株)【1815】,5815,7573,6614
機械,(株)不二家【2211】,1837,2415,1128
建設業,アマノ(株)【6436】,16168,15161,14350
化学,東洋エンジニアリング(株)【6330】,1890,-5613,-32951
化学,(株)クレハ【4023】,18041,17172,12973
小売業,セントラル硝子(株)【4044】,7975,10098,6039
電気機器,(株)ケーズホールディングス【8282】,32989,32722,30764
機械,(株)富士通ゼネラル【6755】,14941,14589,20207
機械,ＪＵＫＩ(株)【6440】,3838,9148,8156
電気機器,オークマ(株)【6103】,14995,27575,22493
銀行業,ユニデンホールディングス(株)【6815】,2294,1993,1241
銀行業,(株)愛知銀行【8527】,‥,‥,‥
情報・通信,フィデアホールディングス(株)【8713】,5724,5747,6119
銀行業,(株)ネクソン【3659】,94525,98360,90504
サービス業,(株)福井銀行【8362】,6298,4792,4209
電気機器,(株)カナモト【9678】,17842,17599,16665
銀行業,新電元工業(株)【6844】,1757,5638,6853
小売業,(株)トマト銀行【8542】,‥,‥,‥
化学,エイチ・ツー・オー　リテイリング(株)【8242】,11171,20422,22765
卸売業,日油(株)【4403】,26874,28442,25816
小売業,(株)リョーサン【8140】,3108,5236,5665
電気機器,コーナン商事(株)【7516】,20060,19891,17372
繊維製品,(株)フェローテックホールディングス【6890】,6012,8782,8437
不動産業,セーレン(株)【3569】,10502,10587,10773
